Genome	Antibiotic	S	R	I
Klebsiella pneumoniae	Aztreonam	1	8	2,4	
Klebsiella pneumoniae	Cefepime	1	8	2,4	
Klebsiella pneumoniae	Cefotaxime	1	4	2	
Klebsiella pneumoniae	Ceftazidime	1	8	2,4	
Klebsiella pneumoniae	Ceftriaxone	1	4	2	
Klebsiella pneumoniae	Cefuroxime sodium	8	16	-	
Klebsiella pneumoniae	Ciprofloxacin	0.25	1	0.5	
Klebsiella pneumoniae	Ertapenem	0.5	2	1	
Klebsiella pneumoniae	Fosfomycin	32	64	-	
Klebsiella pneumoniae	Gentamicin	2	8	4	
Klebsiella pneumoniae	Imipenem	2	16	4,8	
Klebsiella pneumoniae	Levofloxacin	0.5	2	1	
Klebsiella pneumoniae	Meropenem	2	16	4,8	
Klebsiella pneumoniae	Piperacillin/Tazobactam	8	32	16	
Klebsiella pneumoniae	Ticarcillin/Clavulanate	8	32	16	
Klebsiella pneumoniae	Tobramycin	2	8	4	
Klebsiella pneumoniae	Trimethoprim/Sulfamethoxazole	2	8	4	
Neisseria gonorrhoeae	azithromycin	0.25	1	0.5	
Neisseria gonorrhoeae	cefixime	0.125	0.25	-	
Neisseria gonorrhoeae	ceftriaxone	0.125	0.25	-	
Neisseria gonorrhoeae	ciprofloxacin	0.03125	0.125	0.0625	
Neisseria gonorrhoeae	spectinomycin	64	128	-	
Neisseria gonorrhoeae	tetracycline	0.5	2	1	
Staphylococcus aureus	amikacin	8	32	16	
Staphylococcus aureus	azithromycin	1	4	2	
Staphylococcus aureus	chloramphenicol	8	16	-	
Staphylococcus aureus	ciprofloxacin	1	2	-	
Staphylococcus aureus	clindamycin	0.25	1	0.5	
Staphylococcus aureus	daptomycin	1	2	-	
Staphylococcus aureus	doxycycline	1	4	2	
Staphylococcus aureus	erythromycin	1	4	2	
Staphylococcus aureus	gentamicin	1	2	-	
Staphylococcus aureus	levofloxacin	1	2	-	
Staphylococcus aureus	linezolid	4	8	-	
Staphylococcus aureus	minocycline	0.5	2	1	
Staphylococcus aureus	moxifloxacin	0.25	0.5	-	
Staphylococcus aureus	ofloxacin	1	2	-	
Staphylococcus aureus	quinupristin-dalfopristin	1	4	2	
Staphylococcus aureus	rifampin	0.06125	1	0.125,0.25,0.5	
Staphylococcus aureus	tetracycline	1	4	2	
Staphylococcus aureus	tigecycline	0.5	1	-	
Staphylococcus aureus	tobramycin	1	2	-	
Staphylococcus aureus	trimethoprim	2	8	4	
Staphylococcus aureus	trimethoprim/sulfamethoxazole	2	8	4	
Staphylococcus aureus	vancomycin	2	4	-	
Streptococcus pneumoniae	amoxicillin	0.5	2	1	
Streptococcus pneumoniae	benzylpenicillin	0.0625	0.125	-	Meningitus breakpoints, also S vs not-S for all others
Streptococcus pneumoniae	cefaclor	0.03125	0.5	0.0625,0.125.0.25
Streptococcus pneumoniae	cefotaxime	0.5	4	1,2	
Streptococcus pneumoniae	ceftriaxone	0.5	4	1,2	
Streptococcus pneumoniae	clindamycin	0.5	1	-	
Streptococcus pneumoniae	doxycycline	1	4	2	
Streptococcus pneumoniae	erythromycin	0.25	1	0.5	
Streptococcus pneumoniae	levofloxacin	2	4		
Streptococcus pneumoniae	linezolid	2	8	4	
Streptococcus pneumoniae	telithromycin	0.25	1	0.5	
Streptococcus pneumoniae	tetracycline	1	4	2	
Streptococcus pneumoniae	vancomycin	2	4	-	
Enterobacter cloacae	amoxicillin	8	16	-	
Enterobacter cloacae	amoxicillin/clavulanicacid	8	16	-	
Enterobacter cloacae	cefotaxime	1	4	2	
Enterobacter cloacae	ceftazidime	1	8	2,4	
Enterobacter cloacae	cefuroxime	8	16	-	
Enterobacter cloacae	ciprofloxacin	0.25	1	0.5	
Enterobacter cloacae	gentamicin	2	8	4	
Enterobacter cloacae	imipenem	2	8	4	
Enterobacter cloacae	piperacillin/tazobactam	8	32	16	
Acinetobacter baumannii	amikacin	16	64	32
Acinetobacter baumannii	ampicillin/sulbactam	8	32	16
Acinetobacter baumannii	cefepime	8	32	16
Acinetobacter baumannii	cefotaxime	8	64	16,32
Acinetobacter baumannii	ceftazidime	8	32	16
Acinetobacter baumannii	ceftriaxone	8	64	16,32
Acinetobacter baumannii	ciprofloxacin	1	4	2
Acinetobacter baumannii	colistin	2	4	-
Acinetobacter baumannii	doripenem	2	8	4
Acinetobacter baumannii	gentamicin	4	16	8
Acinetobacter baumannii	imipenem	2	8	4
Acinetobacter baumannii	levofloxacin	2	8	4
Acinetobacter baumannii	meropenem	2	8	4
Acinetobacter baumannii	piperacillin/tazobactam	16	128	32,64
Acinetobacter baumannii	tetracycline	4	16	8
Acinetobacter baumannii	ticarcillin/clavulanic_acid	16	128	32,64
Acinetobacter baumannii	tobramycin	4	16	8
Acinetobacter baumannii	trimethoprim/sulfamethoxazole	2	4	-
Pseudomonas aeruginosa	amikacin	16	64	32
Pseudomonas aeruginosa	aztreonam	8	32	16
Pseudomonas aeruginosa	cefepime	8	32	16
Pseudomonas aeruginosa	ceftazidime	8	32	16
Pseudomonas aeruginosa	ciprofloxacin	0.5	2	1
Pseudomonas aeruginosa	colistin	2	4	-
Pseudomonas aeruginosa	gentamicin	4	16	8
Pseudomonas aeruginosa	imipenem	2	8	4
Pseudomonas aeruginosa	levofloxacin	1	4	2
Pseudomonas aeruginosa	meropenem	2	8	4
Pseudomonas aeruginosa	piperacillin/tazobactam	16	128	32,64
Pseudomonas aeruginosa	tobramycin	4	16	8
Campylobacter jejuni	ciprofloxacin	0.5	1	-
Campylobacter jejuni	erythromycin	4	8	-
Campylobacter jejuni	tetracycline	2	4	-
Campylobacter coli	ciprofloxacin	0.5	1	-
Campylobacter coli	erythromycin	8	16	-
Campylobacter coli	tetracycline	2	4	-
Enterococcus faecium	ampicillin	4	16	8
Enterococcus faecium	linezolid	4	8	-
Enterococcus faecium	quinupristin/dalfopristin	1	8	2,4
Enterococcus faecium	teicoplanin	2	4	-
Enterococcus faecium	tigecycline	0.25	0.5	-
Enterococcus faecium	vancomycin	4	8	-
Serratia marcescens	amoxicillin	8	16	-
Serratia marcescens	amoxicillin/clavulanic_acid	8	16	-
Serratia marcescens	cefotaxime	1	4	2
Serratia marcescens	ceftazidime	1	8	2,4
Serratia marcescens	cefuroxime	8	16	-
Serratia marcescens	ciprofloxacin	0.25	1	0.5
Serratia marcescens	gentamicin	2	8	4
Serratia marcescens	imipenem	0.125	8	0.25,0.5,1,2,4
Serratia marcescens	piperacillin/tazobactam	8	32	16
Serratia marcescens	tigecycline	0.5	1	-
